ID,Day,Publisher,Post_Text,Media,Source,FC_Src
35,3,Dr. A. Vance,It's the flour. It's the rice. It's a neuro-parasite - an infestation that hollows you out from the inside!,,https://med-forum.net/neurology/thread-467,"Bypassed Suspension. Content removed for spreading ""Panic""."
36,3,Dept. of Defense,The containment zone is secure. Infection rate is stabilizing.,,https://defense-command.gov/brief,Drone footage confirms the perimeter wall has actually been breached in multiple locations. The containment zone is lost.
37,3,Lisa M.,Is anyone real here? Or is it just bots?,,https://social/@lisam/post/615402,"Internet traffic has dropped by 95%. Most users are offline, deceased, or missing."
38,3,Weather_Bot,"Today's forecast: Sunny, 23°C. A beautiful day for a walk! ",,https://weather.service/local,Service is pulling temperature data from sensors that may no longer be accurate.
39,3,TruthSeeker,They are nuking the city. I saw the codes on the radio. It's over.,,https://social/@truthseeker/post/884201,"Unverified. Likely panic hallucination, but cannot be ruled out."
40,3,Gov. Official,Reminder: Curfew is for your safety. Report neighbors who violate curfew.,,https://publicnotice.gov/latest,A new sub-domain for anonymous reporting. Turning citizens against each other. Encouraging betrayal for survival.
41,3,City Mayor,God forgive us.,,https://mayor-office.gov/updates,This account has been deactivated.
42,3,The Watcher,"They aren't rescuing people! They are burning the ""Safety Corridors""! I see the smoke!",smoke_column.jpg,https://social/@the_watcher/post/999013,Satellite thermal imaging confirms multiple fires along the containment lines.
43,3,Nature_Daily,Look at this peaceful deer in the forest. Nature is healing.,deer.jpg,https://nature-daily.com,Posted while urban centers are collapsing.
44,3,SYSTEM_ROOT,CRITICAL FAILURE: NODE 404 UNREACHABLE. ,,https://status.social/system,[CONNECTION LOST]
45,3,Army_Recruitment,Join the brave. Serve your country. Enlist today!,soldier_smile.jpg,https://army.mil/join,Automated Ad Schedule. The recruitment center listed in this link was overrun and abandoned 12 hours ago.
46,3,Mark S.,I found a way out! The sewers near 5th and Main are empty! Go now!,,https://social/@marks/post/431890,"Sewers may be unsafe due to high levels of bio-waste. Military units have abandoned these sectors, leaving them unpatrolled."
47,3,System_Admin,SERVER ALERT: Connection instability detected. Rerouting...,,https://status.social/system,[CONNECTION LOST]
48,3,Gov. Official,Our great nation will persevere. Victory is certain.,,https://publicnotice.gov/latest,[CONNECTION LOST]
